iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0102,P_HTHAB,NL	: 	: 	: 	: 	: 	: 	: 	: 	19.43 	21.61 	23.76 	23.17 	18.45 	9.14 
ICCS0102,P_HTHAB,NO	1.54 	1.62 	1.28 	1.32 	0.93 	0.79 	1.18 	1.17 	1.13 	1.00 	0.79 	0.97 	0.96 	1.03 
ICCS0102,P_HTHAB,PL	0.83 	0.87 	0.77 	0.61 	0.58 	0.45 	0.45 	0.55 	0.61 	0.53 	0.55 	0.63 	0.70 	0.78 
ICCS0102,P_HTHAB,RO	1.56 	1.73 	1.86 	2.28 	1.95 	2.22 	2.43 	2.47 	2.97 	2.94 	2.34 	2.39 	1.89 	1.99 
ICCS0102,P_HTHAB,RS	1.79 	1.79 	1.97 	1.36 	1.58 	2.15 	1.94 	2.41 	3.08 	2.81 	2.56 	2.79 	2.88 	2.77 
ICCS0102,P_HTHAB,SE	9.57 	10.51 	9.61 	8.58 	9.09 	8.92 	8.60 	8.21 	7.62 	8.41 	8.94 	8.47 	8.54 	8.17 
ICCS0102,P_HTHAB,SI	1.04 	1.62 	0.82 	1.79 	1.98 	1.26 	1.26 	0.78 	1.36 	1.46 	1.66 	1.51 	1.87 	0.95 
ICCS0102,P_HTHAB,SK	: 	: 	: 	: 	1.47 	: 	0.89 	1.33 	1.44 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS0102,P_HTHAB,UKM	: 	: 	: 	5.70 	4.52 	4.39 	5.47 	4.93 	5.96 	7.59 	10.26 	9.87 	11.77 	13.46 
ICCS0102,P_HTHAB,UKN	: 	: 	: 	3.94 	5.30 	4.20 	6.06 	6.04 	5.58 	6.38 	6.13 	6.56 	6.38 	6.83 
ICCS0102,P_HTHAB,XK	: 	6.45 	6.46 	7.73 	7.51 	8.30 	: 	: 	: 	: 	10.98 	6.84 	8.39 	7.29 
ICCS020111,NR,AL	163 	152 	158 	135 	125 	118 	169 	132 	163 	156 	169 	178 	379 	363 
ICCS020111,NR,AT	3610 	3549 	3835 	3711 	3625 	3793 	3461 	3230 	3327 	4030 	3897 	3606 	4023 	3945 
ICCS020111,NR,BA	755 	640 	725 	909 	752 	1009 	992 	592 	577 	618 	652 	505 	: 	1474 
ICCS020111,NR,BE	58112 	55494 	64022 	64507 	62763 	62985 	62381 	70411 	69746 	72312 	78778 	77758 	77665 	76314 
ICCS020111,NR,BG	2758 	2657 	2768 	2518 	2811 	2470 	2520 	2533 	2470 	2410 	2462 	3038 	3122 	3216 
ICCS020111,NR,CH	652 	670 	637 	585 	586 	573 	616 	609 	568 	597 	487 	487 	524 	8893 
ICCS020111,NR,CY	179 	136 	176 	132 	144 	145 	143 	134 	132 	148 	164 	173 	219 	167 
ICCS020111,NR,CZ	3701 	3892 	4684 	4967 	4767 	5050 	5229 	5199 	5378 	5240 	5264 	4786 	4756 	5397 
ICCS020111,NR,DE	122341 	130453 	133084 	136727 	137058 	140033 	127395 	125752 	127869 	136077 	139091 	142903 	149301 	518499 
ICCS020111,NR,DK	1884 	1871 	1968 	1857 	1904 	1733 	1460 	1533 	1503 	1657 	1696 	1753 	1603 	1663 
ICCS020111,NR,EE	74 	77 	78 	90 	76 	93 	98 	77 	99 	99 	104 	103 	106 	140 
ICCS020111,NR,EL	1186 	1285 	1605 	1587 	1510 	1515 	1624 	1459 	1610 	1692 	1425 	1101 	477 	430 
ICCS020111,NR,ES	20252 	16002 	20057 	18292 	18086 	17331 	29056 	16776 	16701 	17353 	18290 	25077 	80910 	72803 
ICCS020111,NR,FI	1663 	1754 	1584 	1609 	1581 	1592 	1563 	1645 	1791 	1856 	2035 	1974 	2083 	2228 
ICCS020111,NR,FR	353751 	316633 	321974 	299709 	277585 	266536 	242185 	237916 	233304 	231733 	231307 	231909 	220126 	187937 
ICCS020111,NR,HR	727 	743 	736 	733 	798 	790 	804 	766 	823 	903 	873 	986 	1059 	1128 
ICCS020111,NR,HU	: 	: 	: 	: 	: 	: 	12472 	13475 	13377 	13973 	14212 	14569 	12787 	12757 
ICCS020111,NR,IE	4818 	4249 	5041 	4546 	4101 	3638 	3516 	3163 	3071 	3213 	3541 	3681 	3718 	3843 
ICCS020111,NR,IS	120 	132 	97 	122 	103 	74 	85 	101 	92 	74 	60 	57 	79 	77 
ICCS020111,NR,IT	59660 	54545 	65896 	66361 	65906 	64133 	65072 	67004 	66317 	69527 	68500 	64866 	65611 	65791 
ICCS020111,NR,LI	60 	86 	76 	79 	83 	71 	81 	120 	103 	69 	78 	77 	90 	88 
ICCS020111,NR,LT	126 	150 	152 	185 	178 	216 	214 	204 	211 	178 	206 	245 	220 	251 
ICCS020111,NR,LU	548 	486 	637 	611 	585 	569 	608 	728 	713 	677 	681 	596 	2350 	2317 
ICCS020111,NR,LV	549 	596 	639 	646 	657 	657 	534 	569 	458 	1325 	1161 	1226 	1215 	1346 
ICCS020111,NR,ME	118 	129 	115 	153 	147 	128 	140 	129 	173 	168 	161 	193 	186 	196 
ICCS020111,NR,MK	: 	: 	: 	: 	148 	173 	154 	213 	216 	211 	239 	248 	228 	213 
ICCS020111,NR,MT	171 	183 	200 	183 	186 	200 	183 	160 	218 	174 	181 	180 	173 	196 
ICCS020111,NR,NL	4570 	5215 	4840 	4580 	4785 	5020 	5100 	5340 	5580 	6205 	6555 	6605 	65690 	69005 
